"IANA_Name","Win_DisplayName","Daylight_Start","Daylight_End","Offset"
"Africa/Abidjan","(UTC+00:00) Monrovia, Reykjavik",,,
"Africa/Accra","(UTC+00:00) Monrovia, Reykjavik",,,
"Africa/Addis_Ababa","(UTC+03:00) Nairobi",,,
"Africa/Algiers","(UTC+01:00) West Central Africa",,,
"Africa/Asmara","(UTC+03:00) Nairobi",,,
"Africa/Bamako","(UTC+00:00) Monrovia, Reykjavik",,,
"Africa/Bangui","(UTC+01:00) West Central Africa",,,
"Africa/Banjul","(UTC+00:00) Monrovia, Reykjavik",,,
"Africa/Bissau","(UTC+00:00) Monrovia, Reykjavik",,,
"Africa/Blantyre","(UTC+02:00) Harare, Pretoria",,,
"Africa/Brazzaville","(UTC+01:00) West Central Africa",,,
"Africa/Bujumbura","(UTC+02:00) Harare, Pretoria",,,
"Africa/Cairo","(UTC+02:00) Cairo","At 03:00 on Friday,Week 5 of Apr (0001)","At 04:00 on Thursday,Week 5 of Sep (2005)","01:00:00"
"Africa/Cairo","(UTC+02:00) Cairo","At 03:00 on Friday,Week 5 of Apr (2006)","At 04:00 on Thursday,Week 3 of Sep (2006)","01:00:00"
"Africa/Cairo","(UTC+02:00) Cairo","At 03:00 on Thursday,Week 3 of May (2014)","At 04:00 on Thursday,Week 5 of Sep (2014)","01:00:00"
"Africa/Cairo","(UTC+02:00) Cairo","At 03:00 on Thursday,Week 4 of Apr (2009)","At 04:00 on Thursday,Week 3 of Aug (2009)","01:00:00"
"Africa/Cairo","(UTC+02:00) Cairo","At 03:00 on Thursday,Week 5 of Apr (2007)","At 04:00 on Thursday,Week 1 of Sep (2007)","01:00:00"
"Africa/Cairo","(UTC+02:00) Cairo","At 03:00 on Thursday,Week 5 of Apr (2008)","At 04:00 on Thursday,Week 5 of Aug (2008)","01:00:00"
"Africa/Cairo","(UTC+02:00) Cairo","At 03:00 on Thursday,Week 5 of Apr (2010)","At 04:00 on Thursday,Week 5 of Sep (2010)","01:00:00"
"Africa/Casablanca","(UTC+01:00) Casablanca","At 03:00 on Saturday,Week 1 of Apr (2011)","At 04:00 on Saturday,Week 5 of Jul (2011)","01:00:00"
"Africa/Casablanca","(UTC+01:00) Casablanca","At 03:00 on Saturday,Week 1 of May (2010)","At 04:00 on Saturday,Week 1 of Aug (2010)","01:00:00"
"Africa/Casablanca","(UTC+01:00) Casablanca","At 03:00 on Saturday,Week 5 of May (2008)","At 04:00 on Sunday,Week 5 of Aug (2008)","01:00:00"
"Africa/Casablanca","(UTC+01:00) Casablanca","At 03:00 on Sunday,Week 2 of Jun (2019)","At 04:00 on Tuesday,Week 1 of Jan (2019)","01:00:00"
"Africa/Casablanca","(UTC+01:00) Casablanca","At 03:00 on Sunday,Week 3 of May (2021)","At 04:00 on Sunday,Week 2 of Apr (9999)","01:00:00"
